,loudness
817,-5.415
818,-6.55
819,-6.336
820,-17.341
821,-8.808
822,-7.395
823,-6.962
824,-4.045
825,-4.614
826,-8.393
827,-6.101
828,-6.122
829,-8.151
830,-5.609
831,-6.745
832,-7.042
833,-3.618
834,-5.145
835,-5.26
836,-2.655
837,-3.799
838,
839,-3.909
840,-4.245
841,-6.746
842,-8.353
843,-6.332
844,-15.617
845,-5.585
846,-5.48
847,-4.31
848,-6.554
849,-6.687
850,
851,-5.146
852,-7.955
853,-6.914
854,-4.513
855,-8.054
856,-4.963
857,-5.482
858,-4.695
859,
860,-7.513
861,-5.944
862,-5.197
863,-1.398
864,-5.919
865,-7.429
866,-6.414
867,-9.457
868,-8.443
869,-7.877
870,-7.544
871,-5.077
872,-3.714
873,-8.197
874,-8.951
875,-12.049
876,-11.336
877,-5.381
878,-3.395
879,-4.921
880,-4.669
881,-7.92
882,-5.709
883,-5.515
884,-4.912
885,-5.661
886,-6.814
887,-7.108
888,-2.192
889,-7.491
890,-6.087
891,-8.306
892,-5.831
893,-4.768
894,-10.7
895,-4.443
896,-8.65
897,-7.16
898,-5.873
899,-6.633
900,-7.428
901,-5.266
902,-5.415
903,-14.505
904,-5.288
905,-8.28
906,-8.191
907,-1.218
908,-9.004
909,-7.491
910,-7.055
911,-5.596
912,-8.04
913,-6.495
914,-5.932
915,-4.8
916,-8.846
917,-6.862
918,-6.297
919,-7.634
920,-3.947
921,-8.677
922,-3.451
923,-6.775
924,-5.946
925,-6.718
926,-5.541
927,-3.37
928,-6.406
929,-5.153
930,-5.513
931,-4.052
932,-6.02
933,-6.489
934,-6.062
935,-3.237
936,-3.961
937,-6.332
938,-9.238
939,-7.565
940,-5.914
941,-7.16
942,-7.601
943,-6.542
944,-8.206
945,-6.349
946,-9.148
947,-7.891
948,-10.615
949,-8.067
950,-4.188
951,-8.484
952,-14.084
953,-8.04
954,-3.895
955,-7.049
956,-7.598
957,-7.73
958,-8.587
959,-2.105
960,-5.978
961,-5.179
962,-13.424
963,-8.764
964,-6.008
965,-7.373
966,-3.368
967,-3.509
968,-5.905
969,-4.633
970,-6.192
971,-6.117
972,-7.678
973,-5.153
974,-3.284
975,-3.225
976,-5.895
977,-11.265
978,-7.891
979,-8.045
980,-8.214
981,-8.084
982,-7.146
983,-9.931
984,-5.429
985,-8.587
986,-7.351
987,
988,-3.284
989,-6.901
990,-7.645
991,-5.239
992,-6.941
993,-3.997
994,-5.481
995,-8.461
996,-4.566
997,-8.084
998,-3.738
999,-3.863
1000,-2.286
1001,-7.994
1002,-3.093
1003,
1004,-4.919
1005,-4.156
1006,-7.32
1007,-7.357
1008,-8.9
1009,-5.696
1010,-6.384
1011,-4.421
1012,-2.692
1013,-5.788
1014,-5.286
1015,-6.519
1016,-7.299
1017,-6.064
1018,-4.356
1019,-7.653
1020,-4.425
1021,-5.098
1022,-4.139
1023,-6.667
1024,-5.606
1025,-6.638
1026,-5.991
1027,-10.044
1028,-9.736
1029,-4.574
1030,-6.364
1031,-5.429
1032,-5.125
1033,-6.188
1034,-6.553
1035,-3.801
1036,-4.119
1037,-5.185
1038,-7.92
1039,-6.441
1040,-4.45
1041,-4.265
1042,-5.048
1043,-8.094
1044,-5.72
1045,-6.775
1046,-4.696
1047,-6.264
1048,-5.697
1049,-5.318
1050,-4.748
1051,-5.424
1052,-11.104
1053,-5.963
1054,-9.195
1055,-7.51
1056,-4.055
1057,-7.245
1058,-5.177
1059,-8.559
1060,-8.531
1061,-3.373
1062,-7.033
1063,-4.443
1064,-5.736
1065,-5.474
1066,-6.573
1067,-3.247
1068,-5.86
1069,-5.673
1070,-6.711
1071,-7.809
1072,-6.753
1073,-3.87
1074,-7.187
1075,-3.244
1076,-4.22
1077,-5.924
1078,-5.924
1079,-7.486
1080,-8.084
1081,-7.485
1082,-7.385
1083,-8.356
1084,-7.604
1085,-7.16
1086,-4.393
1087,-4.063
1088,-5.932
1089,-6.015
1090,-6.445
1091,-7.395
1092,-6.687
1093,-7.101
1094,-7.463
1095,-4.88
1096,-11.184
1097,-5.258
1098,-3.509
1099,-3.618
1100,-2.655
1101,-5.895
1102,-6.807
1103,-9.044
1104,-6.111
1105,-5.274
1106,-5.667
1107,-3.874
1108,-4.633
1109,-6.231
1110,-5.381
1111,-8.433
1112,-6.508
1113,-11.845
1114,-7.48
1115,-3.69
1116,-7.645
1117,-7.471
1118,-4.751
1119,-8.443
1120,-6.332
1121,-5.914
1122,-5.709
1123,-7.272
1124,-6.482
1125,-6.045
1126,-3.922
1127,-5.043
1128,-8.753
1129,-5.122
1130,-9.193
1131,-6.573
1132,-6.573
1133,-4.055
1134,-4.443
1135,-7.092
1136,-5.791
1137,-6.336
1138,-6.955
1139,-4.054
1140,-6.87
1141,-10.333
1142,-7.507
1143,-7.086
1144,-5.831
1145,-7.179
1146,-6.079
1147,-5.065
1148,-6.667
1149,-5.4
1150,-7.864
1151,-2.809
1152,-6.274
1153,-7.491
1154,-1.538
1155,-7.229
1156,-10.881
1157,-8.591
1158,-3.793
1159,-5.116
1160,-7.355
1161,-7.357
1162,-8.56
1163,-9.008
1164,-6.946
1165,-6.122
1166,-7.298
1167,-6.042
1168,-7.373
1169,-6.525
1170,-6.478
1171,-6.112
1172,-7.033
1173,-5.249
1174,-6.297
1175,-2.825
1176,-11.104
1177,-3.785
1178,-4.574
1179,-7.374
1180,-6.667
1181,-7.374
1182,-6.63
1183,-6.883
1184,-6.741
1185,-6.142
1186,-5.946
1187,-6.405
1188,-6.245
1189,-6.718
1190,-5.803
1191,-5.213
1192,-10.355
1193,-11.325
1194,-7.877
1195,-4.932
1196,-6.457
1197,-6.736
1198,-5.105
1199,-8.21
1200,-4.88
1201,-3.825
1202,-10.589
1203,-8.04
1204,-5.547
1205,-5.392
1206,-4.977
1207,-9.892
1208,-5.695
1209,-15.268
1210,-5.8
1211,-3.961
1212,-8.417
1213,-11.325
1214,-9.144
1215,
1216,-8.21
1217,-4.156
1218,-8.835
1219,-6.294
1220,-4.63
1221,-6.365
1222,-10.708
1223,-4.443
1224,-4.831
1225,-7.214
1226,-5.453
1227,-7.355
1228,-7.16
1229,-7.355
1230,-4.234
1231,-4.575
1232,-5.937
1233,-7.486
1234,-9.736
1235,-3.237
1236,-7.373
1237,-7.465
1238,-7.465
1239,-11.265
1240,-6.9
1241,-5.723
1242,-10.708
1243,-6.238
1244,-6.579
1245,-6.068
1246,-3.801
1247,-10.382
1248,-5.12
1249,-6.083
1250,-6.531
1251,-9.148
1252,-8.045
1253,-6.505
1254,-8.084
1255,-3.389
1256,-6.962
1257,-8.245
1258,-6.664
1259,-5.177
1260,-7.509
1261,-4.22
1262,-8.747
1263,-6.644
1264,-4.387
1265,-10.394
1266,-4.921
1267,-6.781
1268,-6.482
1269,-11.361
1270,-4.45
1271,-8.295
1272,-4.768
1273,-7.967
1274,-7.555
1275,-8.21
1276,-8.245
1277,-7.848
1278,-6.138
1279,-11.212
1280,-5.146
1281,-6.671
1282,-7.509
1283,-8.04
1284,-3.909
1285,-8.663
1286,-6.756
1287,-4.356
1288,-5.475
1289,-5.102
1290,-7.119
1291,-9.902
1292,-6.946
1293,-7.738
1294,-7.599
1295,-7.565
1296,-6.883
1297,-6.142
1298,-7.48
1299,-6.883
1300,-8.772
1301,-5.313
1302,-3.626
1303,-7.033
1304,-10.615
1305,-5.808
1306,-5.944
1307,-6.644
1308,-10.858
1309,-10.7
1310,-6.107
1311,-7.486
1312,-5.418
1313,-12.049
1314,-8.054
1315,-6.223
1316,-8.217
1317,-4.751
1318,-7.639
1319,-6.987
1320,-6.13
1321,-3.386
