,acousticness
1327,0.517
1328,0.0392
1329,0.64
1330,0.0249
1331,0.00953
1332,0.00953
1333,0.0417
1334,0.64
1335,0.0414
1336,0.0556
1337,0.0417
1338,0.136
1339,0.218
1340,0.157
1341,0.0942
1342,0.0172
1343,0.0232
1344,0.133
1345,0.0773
1346,0.136
1347,0.949
1348,0.00225
1349,0.0827
1350,0.391
1351,0.588
1352,0.0226
1353,0.101
1354,0.017
1355,0.546
1356,0.00161
1357,0.511
1358,0.546
1359,0.511
1360,0.302
1361,0.0651
1362,0.479
1363,0.288
1364,0.0521
1365,0.0369
1366,0.883
1367,0.883
1368,0.242
1369,0.242
1370,0.15
1371,0.000858
1372,0.21
1373,0.0104
1374,0.288
1375,0.174
1376,0.214
1377,0.859
1378,0.791
1379,0.665
1380,0.00671
1381,0.106
1382,0.113
1383,0.111
1384,0.257
1385,0.501
1386,0.22
1387,0.122
1388,0.0849
1389,0.327
1390,0.36
1391,0.0306
1392,0.142
1393,0.0111
1394,0.000709
1395,0.0114
1396,0.0141
1397,0.0573
1398,0.0543
1399,0.0247
1400,0.208
1401,0.145
1402,0.342
1403,0.174
1404,0.0134
1405,0.00998
1406,0.084
1407,0.00286
1408,0.0144
1409,0.0104
1410,0.0091
1411,0.234
1412,0.00465
1413,0.0079
1414,0.244
1415,0.036
1416,0.741
1417,0.214
1418,0.0371
1419,0.0313
1420,0.648
1421,0.741
1422,0.741
1423,0.0185
1424,0.193
1425,
1426,0.212
1427,0.0993
1428,0.0362
1429,0.21
1430,0.259
1431,0.00286
1432,0.00311
1433,0.0038
1434,0.455
1435,
1436,0.188
1437,0.0589
1438,0.0589
1439,0.349
1440,
1441,0.503
1442,0.0345
1443,0.295
1444,0.0919
1445,
1446,0.0589
1447,0.295
1448,0.0912
1449,0.145
1450,0.00462
1451,0.606
1452,0.288
1453,0.0417
1454,0.136
1455,0.12
1456,0.248
1457,0.536
1458,0.0015
1459,0.24
1460,0.0381
1461,0.055
1462,0.055
1463,0.103
1464,0.00614
1465,0.15
1466,0.0301
1467,0.00272
1468,0.0395
1469,0.0143
1470,0.511
1471,0.0172
1472,0.00949
1473,0.58
1474,0.384
1475,0.235
1476,0.222
1477,0.0151
1478,0.101
1479,0.194
1480,0.00552
1481,0.0969
1482,0.348
1483,0.0303
1484,0.733
1485,0.961
1486,0.064
1487,0.0579
1488,0.136
1489,0.207
1490,0.0627
1491,0.0558
1492,0.0152
1493,0.741
1494,0.0737
1495,0.193
1496,0.228
1497,0.000739
1498,0.791
1499,0.159
1500,0.317
1501,0.348
1502,0.619
1503,0.0031
1504,0.0667
1505,0.00586
1506,0.112
1507,0.00418
1508,0.0455
1509,0.0262
1510,0.121
1511,0.582
1512,0.22
1513,0.025
1514,0.619
1515,0.00418
1516,0.782
1517,0.401
1518,0.136
1519,0.125
1520,0.134
1521,0.0335
1522,0.00614
1523,0.0114
1524,0.00286
1525,0.0825
1526,0.123
1527,
1528,0.455
1529,0.00713
1530,0.272
1531,0.257
1532,0.0467
1533,0.0303
1534,0.15
1535,0.0667
1536,0.218
1537,0.00169
1538,0.156
1539,0.202
1540,0.00589
1541,0.257
1542,0.0151
1543,0.0507
1544,0.00391
1545,0.0151
1546,0.206
1547,0.25
1548,0.331
1549,0.0876
1550,0.0876
1551,0.00552
1552,0.00111
1553,0.0735
1554,0.0298
1555,0.0079
1556,0.24
1557,0.0891
1558,0.108
1559,0.000739
1560,0.0513
1561,0.0111
1562,0.296
1563,0.257
1564,
1565,0.0646
1566,0.0165
1567,0.0345
1568,0.603
1569,0.0145
1570,0.0304
1571,0.229
1572,0.0207
1573,0.00413
1574,0.158
1575,0.158
1576,0.138
1577,0.0457
1578,0.0457
1579,0.07
1580,0.237
1581,0.305
1582,0.456
1583,0.3
1584,0.459
1585,0.0578
1586,0.0571
1587,0.0152
1588,0.542
1589,0.619
1590,0.15
1591,0.0239
1592,0.0361
1593,0.606
1594,0.101
1595,0.013
1596,0.309
1597,0.0405
1598,0.000282
1599,0.101
1600,0.136
1601,0.189
1602,0.00311
1603,0.517
1604,0.133
