,energy
1285,0.599
1286,0.454
1287,0.762
1288,0.633
1289,0.881
1290,0.639
1291,0.312
1292,0.586
1293,0.543
1294,0.66
1295,0.635
1296,0.586
1297,0.658
1298,0.47
1299,0.586
1300,0.489
1301,0.665
1302,0.867
1303,0.676
1304,0.498
1305,0.676
1306,0.694
1307,0.792
1308,0.366
1309,0.156
1310,0.727
1311,0.838
1312,0.48
1313,0.34
1314,0.479
1315,0.488
1316,0.472
1317,0.631
1318,0.718
1319,0.646
1320,0.613
1321,0.84
1322,0.881
1323,0.666
1324,0.387
1325,0.838
1326,
1327,0.654
1328,0.586
1329,0.667
1330,0.594
1331,0.577
1332,0.577
1333,0.625
1334,0.667
1335,0.651
1336,0.649
1337,0.625
1338,0.444
1339,0.656
1340,0.646
1341,0.756
1342,0.443
1343,0.633
1344,0.632
1345,0.812
1346,0.444
1347,0.0668
1348,0.52
1349,0.618
1350,0.503
1351,0.353
1352,0.66
1353,0.771
1354,0.604
1355,0.56
1356,0.756
1357,0.412
1358,0.56
1359,0.412
1360,0.282
1361,0.844
1362,0.559
1363,0.921
1364,0.603
1365,0.667
1366,0.258
1367,0.258
1368,0.687
1369,0.687
1370,0.776
1371,0.95
1372,0.601
1373,0.493
1374,0.921
1375,0.559
1376,0.787
1377,0.0279
1378,0.52
1379,0.629
1380,0.636
1381,0.701
1382,0.526
1383,0.591
1384,0.501
1385,0.81
1386,0.644
1387,0.497
1388,0.713
1389,0.482
1390,0.589
1391,0.524
1392,0.684
1393,0.492
1394,0.589
1395,0.744
1396,0.539
1397,0.694
1398,0.715
1399,0.586
1400,0.761
1401,0.745
1402,0.596
1403,0.605
1404,0.723
1405,0.529
1406,0.556
1407,0.681
1408,0.667
1409,0.493
1410,0.549
1411,0.488
1412,0.859
1413,0.572
1414,0.77
1415,0.454
1416,0.551
1417,0.787
1418,0.47
1419,0.808
1420,0.398
1421,0.551
1422,0.551
1423,0.58
1424,0.88
1425,
1426,0.597
1427,0.32
1428,0.949
1429,0.601
1430,0.726
1431,0.681
1432,0.929
1433,0.783
1434,0.553
1435,
1436,0.567
1437,0.626
1438,0.626
1439,0.566
1440,
1441,0.616
1442,0.678
1443,0.708
1444,0.8
1445,
1446,0.626
1447,0.708
1448,0.646
1449,0.73
1450,0.881
1451,0.44
1452,0.612
1453,0.625
1454,0.539
1455,0.493
1456,0.497
1457,0.544
1458,0.87
1459,0.571
1460,0.579
1461,0.654
1462,0.654
1463,0.5
1464,0.727
1465,0.587
1466,0.609
1467,0.983
1468,0.593
1469,0.719
1470,0.412
1471,0.719
1472,0.703
1473,0.34
1474,0.574
1475,0.428
1476,0.82
1477,0.346
1478,0.502
1479,0.625
1480,0.346
1481,0.59
1482,0.756
1483,0.675
1484,0.4
1485,0.405
1486,0.579
1487,0.82
1488,0.444
1489,0.694
1490,0.786
1491,0.932
1492,0.698
1493,0.539
1494,0.608
1495,0.831
1496,0.849
1497,0.651
1498,0.52
1499,0.556
1500,0.599
1501,0.756
1502,0.585
1503,0.912
1504,0.573
1505,0.74
1506,0.731
1507,0.46
1508,0.723
1509,0.626
1510,0.678
1511,0.313
1512,0.644
1513,0.607
1514,0.585
1515,0.46
1516,0.251
1517,0.616
1518,0.444
1519,0.732
1520,0.338
1521,0.701
1522,0.727
1523,0.55
1524,0.681
1525,0.833
1526,0.454
1527,
1528,0.553
1529,0.852
1530,0.645
1531,0.756
1532,0.747
1533,0.675
1534,0.692
1535,0.573
1536,0.656
1537,0.567
1538,0.728
1539,0.47
1540,0.657
1541,0.535
1542,0.346
1543,0.782
1544,0.824
1545,0.665
1546,0.504
1547,0.861
1548,0.578
1549,0.633
1550,0.633
1551,0.346
1552,0.524
1553,0.586
1554,0.535
1555,0.572
1556,0.571
1557,0.909
1558,0.768
1559,0.941
1560,0.864
1561,0.844
1562,0.391
1563,0.756
1564,
1565,0.807
1566,0.412
1567,0.678
1568,0.495
1569,0.822
1570,0.833
1571,0.731
1572,0.713
1573,0.644
1574,0.607
1575,0.607
1576,0.767
1577,0.581
1578,0.581
1579,0.708
1580,0.703
1581,0.746
1582,0.653
1583,0.688
1584,0.497
1585,0.596
1586,0.595
1587,0.646
1588,0.818
1589,0.585
1590,0.692
1591,0.693
1592,0.413
1593,0.44
1594,0.561
1595,0.683
1596,0.594
1597,0.698
1598,0.621
1599,0.771
1600,0.444
1601,0.525
1602,0.929
1603,0.647
1604,0.714
1605,0.527
1606,0.769
1607,0.881
1608,0.567
1609,0.631
1610,0.574
1611,0.509
1612,0.602
1613,0.684
1614,0.559
1615,0.603
1616,0.833
1617,0.454
1618,0.454
1619,0.603
1620,0.521
1621,0.786
1622,0.802
1623,0.577
1624,0.591
1625,0.839
1626,0.581
1627,0.809
1628,0.721
1629,0.615
1630,0.809
1631,0.721
1632,0.781
1633,0.69
1634,0.69
1635,0.639
1636,0.608
1637,0.728
1638,0.594
1639,0.756
1640,0.556
1641,0.567
1642,0.941
1643,0.649
1644,0.891
1645,0.492
1646,0.492
1647,0.618
1648,0.449
1649,0.501
1650,0.76
1651,0.482
1652,0.482
1653,0.526
1654,
1655,0.683
1656,0.847
1657,0.768
1658,0.279
1659,0.364
1660,0.537
1661,0.756
1662,0.744
1663,0.499
1664,0.814
1665,0.586
1666,0.831
1667,0.543
1668,0.76
1669,0.646
1670,0.934
1671,0.594
1672,0.781
1673,0.593
1674,0.654
1675,0.735
1676,0.251
1677,0.841
1678,0.841
1679,0.532
1680,0.73
1681,0.612
1682,0.52
1683,0.413
1684,0.616
1685,0.573
1686,0.458
1687,0.5
1688,0.579
1689,0.603
1690,0.504
1691,0.445
1692,0.756
1693,0.689
1694,0.847
1695,0.606
1696,0.93
1697,0.73
1698,0.603
1699,0.304
1700,0.663
1701,0.613
1702,0.67
1703,0.93
1704,0.93
1705,0.656
1706,0.435
1707,0.304
1708,0.4
1709,0.573
1710,0.353
1711,0.678
1712,0.627
1713,0.61
1714,0.703
1715,0.629
1716,0.64
1717,0.654
1718,0.629
1719,0.679
1720,0.64
1721,0.515
1722,0.786
1723,0.863
1724,0.694
1725,0.498
1726,0.891
1727,0.489
1728,0.479
1729,0.543
1730,0.64
1731,0.552
1732,0.542
1733,0.941
1734,0.621
1735,0.804
1736,0.479
1737,0.586
1738,0.945
1739,0.628
1740,0.793
1741,0.597
1742,0.561
1743,0.752
1744,0.844
1745,0.707
1746,0.612
1747,0.587
1748,0.627
1749,0.457
1750,0.762
1751,0.718
1752,0.651
1753,0.835
1754,0.531
1755,0.881
1756,0.449
1757,0.781
1758,0.684
1759,0.619
1760,0.4
1761,0.557
1762,0.587
1763,0.634
1764,0.579
1765,0.725
1766,0.646
1767,0.575
1768,0.552
1769,0.713
1770,0.87
1771,0.596
1772,0.691
1773,0.751
1774,0.838
1775,0.594
1776,0.848
1777,0.677
1778,0.0279
1779,0.23
1780,0.8
1781,0.582
1782,0.582
1783,0.526
1784,0.576
1785,0.529
1786,0.831
1787,0.615
1788,0.679
1789,0.686
1790,0.559
1791,0.743
1792,0.809
1793,0.539
1794,0.605
1795,0.651
1796,0.789
1797,0.658
1798,0.582
1799,0.569
1800,0.587
1801,0.861
1802,0.487
1803,0.615
1804,0.567
1805,0.642
1806,0.686
1807,0.48
1808,0.62
1809,0.594
1810,0.743
1811,0.645
1812,0.645
1813,0.847
1814,0.622
1815,0.52
1816,0.603
1817,0.646
1818,0.816
1819,0.816
1820,0.816
1821,0.497
1822,0.597
1823,0.597
1824,0.632
1825,0.577
1826,0.46
1827,0.66
1828,0.726
1829,0.792
1830,0.956
1831,0.715
1832,0.59
1833,0.625
1834,0.602
1835,0.607
1836,0.73
1837,0.808
1838,0.566
1839,0.813
1840,0.662
1841,0.835
1842,0.84
1843,0.74
1844,0.606
1845,0.639
1846,
1847,0.626
1848,0.659
1849,0.525
1850,0.601
1851,
1852,0.953
1853,0.45
1854,0.694
1855,0.736
1856,0.626
1857,0.598
1858,0.598
1859,0.683
1860,0.775
1861,0.525
1862,0.306
1863,0.594
1864,0.649
1865,0.786
1866,0.633
1867,0.582
1868,0.649
1869,0.573
1870,0.303
1871,0.692
1872,0.825
1873,0.723
1874,0.684
1875,0.663
1876,0.553
1877,0.604
1878,0.736
1879,0.41
1880,0.84
1881,0.722
1882,0.754
1883,0.768
1884,0.661
1885,0.576
1886,0.659
1887,0.522
1888,0.838
1889,0.756
1890,0.594
1891,0.656
1892,0.664
1893,0.529
1894,0.526
1895,0.631
1896,0.662
1897,0.631
1898,0.563
1899,0.629
1900,0.87
1901,0.521
1902,0.428
1903,0.816
1904,0.658
1905,0.576
1906,0.609
1907,0.732
1908,0.519
1909,0.67
1910,0.478
1911,0.786
1912,0.723
1913,
1914,0.657
1915,
1916,0.621
1917,0.569
1918,0.683
1919,0.293
1920,0.812
1921,0.745
1922,0.566
1923,0.296
1924,0.537
1925,0.802
1926,0.758
1927,0.52
1928,0.521
1929,0.537
1930,0.787
1931,0.612
1932,0.575
1933,0.26
1934,0.579
1935,0.623
1936,0.88
1937,0.584
1938,0.598
1939,0.592
1940,0.524
1941,0.573
1942,0.949
1943,0.642
1944,0.649
1945,0.688
1946,0.615
1947,0.56
1948,0.646
1949,0.941
1950,0.482
1951,0.573
1952,0.867
1953,0.931
1954,0.636
1955,0.434
1956,0.76
1957,0.552
1958,0.662
1959,0.719
1960,0.719
1961,0.0279
1962,0.382
1963,0.45
1964,0.739
1965,0.492
1966,0.783
1967,0.715
1968,0.44
1969,0.595
1970,0.685
1971,0.586
1972,0.599
1973,0.603
1974,0.52
1975,0.691
1976,0.493
1977,0.538
1978,0.304
1979,0.872
1980,0.585
1981,0.577
1982,0.601
1983,0.492
1984,0.702
1985,0.618
1986,0.577
1987,0.838
1988,0.858
1989,0.556
1990,0.748
1991,0.718
1992,0.786
1993,0.756
1994,0.718
1995,0.646
1996,0.839
1997,0.764
1998,0.636
1999,
2000,0.683
2001,0.589
2002,0.714
2003,0.807
2004,0.756
2005,0.651
2006,0.549
2007,0.492
2008,0.676
2009,0.55
2010,0.811
2011,0.774
2012,0.489
2013,0.834
2014,0.617
2015,0.587
2016,0.828
2017,0.623
2018,0.57
2019,0.489
2020,0.725
2021,0.648
2022,0.385
2023,0.81
2024,0.579
2025,0.743
2026,0.728
2027,0.536
2028,0.809
2029,0.83
2030,0.635
2031,0.586
2032,0.338
2033,0.807
2034,0.46
2035,0.76
2036,0.841
2037,0.576
2038,
2039,0.459
2040,0.719
2041,0.197
2042,0.59
2043,0.197
2044,0.581
2045,0.603
2046,0.599
2047,0.567
2048,
2049,0.613
2050,0.687
2051,0.577
2052,0.814
2053,0.941
2054,0.245
2055,0.391
2056,0.731
2057,0.826
2058,0.774
2059,0.66
2060,0.625
2061,0.492
2062,0.366
2063,0.532
2064,0.739
2065,0.552
2066,0.608
2067,0.426
2068,0.795
2069,0.594
2070,0.578
2071,0.802
2072,0.509
2073,0.596
2074,0.802
2075,0.493
2076,0.792
2077,0.346
2078,0.576
2079,0.569
2080,0.583
2081,0.503
2082,0.811
2083,0.549
2084,0.736
2085,0.869
2086,0.399
2087,0.552
2088,0.656
2089,0.496
2090,0.496
2091,0.667
2092,0.448
2093,0.975
2094,0.636
2095,0.67
2096,0.857
2097,0.818
2098,0.732
2099,0.753
2100,0.784
2101,0.664
2102,0.583
2103,0.549
2104,0.703
2105,0.718
2106,0.524
2107,0.609
2108,0.575
2109,0.914
2110,0.87
2111,0.465
2112,0.792
2113,0.683
2114,0.385
2115,0.859
2116,0.861
2117,0.452
2118,0.52
2119,0.578
2120,0.578
2121,0.567
2122,0.756
2123,0.642
2124,0.599
2125,0.767
2126,0.953
2127,0.662
2128,0.744
2129,0.251
2130,0.816
2131,0.518
2132,0.621
2133,0.617
2134,0.304
2135,
2136,0.752
2137,0.731
2138,0.8
2139,0.658
2140,0.574
2141,0.574
2142,0.983
2143,0.627
2144,0.621
2145,0.746
2146,0.717
2147,0.872
2148,0.418
2149,0.612
2150,0.929
