,liveness
1258,0.0842
1259,0.0662
1260,0.167
1261,0.417
1262,0.107
1263,0.666
1264,0.198
1265,0.101
1266,0.195
1267,0.255
1268,0.127
1269,0.74
1270,0.131
1271,0.347
1272,0.14
1273,0.165
1274,0.179
1275,0.0924
1276,0.109
1277,0.134
1278,0.189
1279,0.334
1280,0.114
1281,0.272
1282,0.167
1283,0.146
1284,0.129
1285,0.0711
1286,0.155
1287,0.18
1288,0.0993
1289,0.269
1290,0.0698
1291,0.0857
1292,0.132
1293,0.117
1294,0.134
1295,0.319
1296,0.0755
1297,0.111
1298,0.144
1299,0.0755
1300,0.159
1301,0.123
1302,0.33
1303,0.0863
1304,0.406
1305,0.163
1306,0.074
1307,0.666
1308,0.21
1309,0.102
1310,0.107
1311,0.101
1312,0.147
1313,0.116
1314,0.135
1315,0.156
1316,0.0902
1317,0.5
1318,0.118
1319,0.338
1320,0.267
1321,0.329
1322,0.111
1323,0.105
1324,0.136
1325,0.101
1326,
1327,0.0996
1328,0.0558
1329,0.0753
1330,0.0967
1331,0.0838
1332,0.0838
1333,0.129
1334,0.0753
1335,0.0896
1336,0.0884
1337,0.129
1338,0.173
1339,0.115
1340,0.338
1341,0.23
1342,0.276
1343,0.0993
1344,0.621
1345,0.115
1346,0.173
1347,0.194
1348,0.679
1349,0.542
1350,0.0996
1351,0.102
1352,0.0622
1353,0.135
1354,0.272
1355,0.111
1356,0.226
1357,0.241
1358,0.111
1359,0.241
1360,0.151
1361,0.087
1362,0.128
1363,0.482
1364,0.0924
1365,0.11
1366,0.103
1367,0.103
1368,0.158
1369,0.158
1370,0.227
1371,0.109
1372,0.0928
1373,0.0917
1374,0.482
1375,0.344
1376,0.0669
1377,0.254
1378,0.108
1379,0.447
1380,0.105
1381,0.208
1382,0.105
1383,0.429
1384,0.189
1385,0.117
1386,0.116
1387,0.11
1388,0.717
1389,0.229
1390,0.119
1391,0.2
1392,0.179
1393,0.382
1394,0.164
1395,0.066
1396,0.099
1397,0.133
1398,0.119
1399,0.132
1400,0.091
1401,0.292
1402,0.148
1403,0.329
1404,0.196
1405,0.0884
1406,0.527
1407,0.291
1408,0.15
1409,0.0917
1410,0.137
1411,0.241
1412,0.0823
1413,0.113
1414,0.229
1415,0.0896
1416,0.583
1417,0.0669
1418,0.144
1419,0.207
1420,0.115
1421,0.583
1422,0.583
1423,0.057
1424,0.432
1425,
1426,0.0866
1427,0.121
1428,0.417
1429,0.0928
1430,0.0976
1431,0.291
1432,0.11
1433,0.161
1434,0.181
1435,
1436,0.0998
1437,0.396
1438,0.396
1439,0.34
1440,
1441,0.103
1442,0.0986
1443,0.355
1444,0.076
1445,
1446,0.396
1447,0.355
1448,0.166
1449,0.11
1450,0.111
1451,0.11
1452,0.198
1453,0.129
1454,0.103
1455,0.211
1456,0.138
1457,0.17
1458,0.246
1459,0.291
1460,0.0952
1461,0.214
1462,0.214
1463,0.103
1464,0.384
1465,0.118
1466,0.179
1467,0.192
1468,0.484
1469,0.359
1470,0.241
1471,0.107
1472,0.0895
1473,0.116
1474,0.336
1475,0.278
1476,0.575
1477,0.0871
1478,0.122
1479,0.248
1480,0.0881
1481,0.329
1482,0.182
1483,0.344
1484,0.334
1485,0.0725
1486,0.182
1487,0.149
1488,0.173
1489,0.074
1490,0.127
1491,0.097
1492,0.442
1493,0.0966
1494,0.406
1495,0.0768
1496,0.493
1497,0.235
1498,0.108
1499,0.204
1500,0.219
1501,0.182
1502,0.114
1503,0.115
1504,0.119
