,popularity
1927,53.0
1928,72.0
1929,80.0
1930,81.0
1931,75.0
1932,51.0
1933,76.0
1934,66.0
1935,57.0
1936,41.0
1937,56.0
1938,69.0
1939,58.0
1940,69.0
1941,58.0
1942,53.0
1943,73.0
1944,48.0
1945,57.0
1946,72.0
1947,81.0
1948,77.0
1949,19.0
1950,29.0
1951,66.0
1952,69.0
1953,57.0
1954,48.0
1955,82.0
1956,73.0
1957,79.0
1958,79.0
1959,40.0
1960,63.0
1961,67.0
1962,69.0
1963,72.0
1964,73.0
1965,52.0
1966,87.0
1967,42.0
1968,73.0
1969,68.0
1970,40.0
1971,85.0
1972,62.0
1973,76.0
1974,86.0
1975,51.0
1976,56.0
1977,81.0
1978,83.0
1979,73.0
1980,48.0
1981,37.0
1982,60.0
1983,44.0
1984,60.0
1985,50.0
1986,56.0
1987,52.0
1988,84.0
1989,78.0
1990,52.0
1991,45.0
1992,54.0
1993,56.0
1994,45.0
1995,72.0
1996,70.0
1997,56.0
1998,48.0
1999,
2000,64.0
2001,70.0
2002,71.0
2003,45.0
2004,61.0
2005,73.0
2006,42.0
2007,52.0
2008,67.0
2009,51.0
2010,74.0
2011,49.0
2012,67.0
2013,66.0
2014,55.0
2015,56.0
2016,71.0
2017,63.0
2018,87.0
2019,63.0
2020,71.0
2021,54.0
2022,57.0
2023,54.0
2024,51.0
2025,68.0
2026,55.0
2027,36.0
2028,66.0
2029,63.0
2030,76.0
2031,76.0
2032,78.0
2033,46.0
2034,74.0
2035,78.0
2036,68.0
2037,66.0
2038,
2039,64.0
2040,40.0
2041,78.0
2042,59.0
2043,78.0
2044,44.0
2045,80.0
2046,67.0
2047,53.0
2048,
2049,85.0
2050,67.0
2051,37.0
2052,85.0
2053,19.0
2054,60.0
2055,88.0
2056,62.0
2057,50.0
2058,74.0
2059,31.0
2060,80.0
2061,68.0
2062,67.0
2063,45.0
2064,73.0
2065,74.0
2066,76.0
2067,44.0
2068,69.0
2069,76.0
2070,76.0
2071,29.0
2072,68.0
2073,57.0
2074,51.0
2075,63.0
2076,85.0
2077,81.0
2078,77.0
2079,83.0
2080,61.0
2081,63.0
2082,66.0
2083,53.0
2084,66.0
2085,40.0
2086,50.0
2087,79.0
2088,70.0
2089,81.0
2090,81.0
2091,78.0
2092,80.0
2093,66.0
2094,48.0
2095,81.0
2096,58.0
2097,38.0
2098,82.0
2099,47.0
2100,44.0
2101,69.0
2102,54.0
2103,76.0
2104,67.0
2105,45.0
2106,62.0
2107,81.0
2108,71.0
2109,80.0
2110,71.0
2111,68.0
2112,53.0
2113,64.0
2114,62.0
2115,45.0
2116,58.0
2117,53.0
2118,53.0
2119,70.0
2120,70.0
2121,56.0
2122,56.0
2123,73.0
2124,72.0
2125,77.0
2126,79.0
2127,66.0
2128,67.0
2129,81.0
2130,73.0
2131,51.0
2132,84.0
2133,78.0
2134,83.0
2135,
2136,64.0
2137,69.0
2138,77.0
2139,79.0
2140,62.0
2141,84.0
2142,36.0
2143,66.0
2144,53.0
2145,53.0
2146,76.0
2147,57.0
2148,52.0
2149,75.0
2150,64.0
