,instrumentalness
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0812
1156,1.96e-05
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,6.43e-05
1162,0.0108
1163,0.0
1164,0.0
1165,6.72e-06
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,4.56e-05
1172,0.0
1173,0.0087
1174,0.0
1175,0.0067
1176,0.369
1177,0.0
1178,0.101
1179,3.17e-05
1180,0.201
1181,3.17e-05
1182,0.0185
1183,0.0
1184,8.33e-06
1185,0.0
1186,7.32e-05
1187,0.0
1188,6.99e-05
1189,0.0
1190,0.0
1191,0.0
1192,5e-05
1193,0.0165
1194,0.0
1195,0.635
1196,0.0
1197,0.0
1198,0.0
1199,9.48e-05
1200,0.00372
1201,0.00219
1202,1.88e-05
1203,0.0
1204,7.87e-05
1205,0.0
1206,0.0
1207,0.00184
1208,0.0
1209,1.31e-05
1210,0.0
1211,0.393
1212,0.0
1213,0.0165
1214,4.13e-06
1215,
1216,9.48e-05
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,5.04e-05
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.312
1234,0.0
1235,0.0
1236,0.0
1237,0.00878
1238,0.00878
1239,0.00278
1240,6.7e-06
1241,0.00404
1242,0.0
1243,0.0
1244,0.0
1245,0.0016
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.331
1253,0.0
1254,0.0
1255,0.000103
1256,0.0
1257,1.75e-06
1258,0.0
1259,4.17e-06
1260,0.0178
1261,0.0
1262,0.00157
1263,0.0
1264,0.0
1265,1.44e-05
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,1.09e-06
1274,1.61e-05
1275,9.48e-05
1276,1.75e-06
1277,0.0
1278,0.0
1279,0.000133
1280,1.13e-06
1281,0.0
1282,0.0178
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.000343
1289,0.0
1290,0.0
1291,0.469
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.00285
1303,0.0
1304,5.84e-05
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.015
1310,0.00204
1311,0.312
1312,0.0
1313,0.0032
1314,0.0
1315,0.0
1316,2.22e-06
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.00622
1322,0.0266
1323,0.0
1324,0.0
1325,0.312
1326,
1327,0.0
1328,0.0
1329,1.22e-06
1330,0.0
1331,3.48e-06
1332,3.48e-06
1333,0.0
1334,1.22e-06
1335,0.0
1336,0.0
1337,0.0
1338,6.44e-05
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.000343
1344,0.0
1345,0.0
1346,6.44e-05
1347,1.31e-05
1348,0.000799
1349,0.0
1350,0.0126
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,9.26e-05
1357,0.000423
1358,0.0
1359,0.000423
1360,8.67e-06
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0145
1367,0.0145
1368,0.0
1369,0.0
1370,0.0
1371,0.395
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0892
1378,0.00278
1379,0.0165
1380,0.0
1381,0.0
1382,8.33e-06
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.000496
1397,0.000937
1398,9.07e-06
1399,0.0
1400,0.0
1401,0.0
1402,0.335
1403,0.0
1404,7.87e-05
1405,0.0
1406,5.04e-05
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.000327
1413,0.0
1414,0.0
1415,0.000422
1416,5.35e-05
1417,0.0
1418,0.0
1419,0.0
1420,1.26e-06
1421,5.35e-05
1422,5.35e-05
1423,1.83e-05
1424,0.0
1425,
1426,0.0
1427,0.00819
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.201
1433,0.0012
1434,0.0
1435,
1436,0.0
1437,6e-05
1438,6e-05
1439,0.0
1440,
1441,0.0
1442,0.0
1443,1.88e-05
1444,0.00233
1445,
1446,6e-05
1447,1.88e-05
1448,0.0
1449,3.06e-06
1450,0.0266
1451,3.02e-05
1452,0.0
1453,0.0
1454,1.78e-06
1455,2.63e-06
1456,0.0
1457,0.0
1458,2.82e-06
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,3.77e-05
1464,0.0652
1465,0.0
1466,1.61e-05
1467,0.564
1468,0.0
1469,0.00777
1470,0.000423
1471,1.11e-05
1472,2.57e-05
1473,0.0032
1474,1.65e-05
1475,2.35e-06
1476,0.0
1477,7.04e-06
1478,0.0
1479,0.00986
1480,0.0
1481,8.9e-06
1482,0.000371
1483,0.0
1484,0.000133
1485,1.07e-05
1486,2.38e-06
1487,0.0
1488,6.44e-05
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,4.52e-05
1497,0.0
1498,0.00278
1499,0.0
1500,0.0
1501,0.000371
1502,0.0
1503,0.0645
1504,0.0
1505,0.0
1506,1.19e-06
1507,0.000748
1508,0.000193
1509,0.00488
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.000748
1516,0.00203
1517,0.0
1518,6.44e-05
1519,0.0
1520,0.00184
1521,0.0
1522,0.0652
1523,5.69e-06
1524,0.0
1525,0.0
1526,0.0
1527,
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.635
1533,0.0
1534,0.00012
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.562
1540,0.0
1541,0.0
1542,7.04e-06
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,7e-05
1548,0.0
1549,2.6e-06
1550,2.6e-06
1551,0.0
1552,0.000678
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,9.7e-05
1558,0.0
1559,0.0146
1560,0.0766
1561,0.0
1562,0.000406
1563,0.0
1564,
1565,0.0
1566,0.0126
1567,0.0
1568,7.26e-06
1569,0.0
1570,0.445
1571,0.0
1572,0.000175
1573,0.0
1574,0.000228
1575,0.000228
1576,0.0
1577,0.0
1578,0.0
1579,0.0106
1580,1.99e-06
1581,0.0
1582,0.0
1583,0.0
1584,0.000153
1585,0.0
1586,3.7e-06
1587,0.0
1588,0.0
1589,0.0
1590,0.00012
1591,0.0
1592,0.0
1593,3.02e-05
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,5.39e-05
1599,0.0
1600,6.44e-05
1601,0.0
1602,0.201
1603,0.0
1604,0.000187
1605,0.0
1606,0.0101
1607,0.0266
1608,0.0
1609,0.0
1610,0.00294
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.000422
1618,0.000422
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0185
1628,0.0134
1629,0.0
1630,0.0185
1631,0.0134
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0146
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.00174
1654,
1655,0.0
1656,0.0
1657,0.0
1658,0.049
1659,0.0
1660,0.00404
1661,0.0
1662,0.00016
1663,3.46e-06
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.922
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.00203
1677,0.0
1678,0.0
1679,0.000108
1680,0.0
1681,0.0
1682,0.00278
1683,0.0
1684,0.0
1685,0.000883
1686,0.000103
1687,3.77e-05
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,9.26e-05
1693,0.0
1694,4.56e-05
1695,0.0
1696,3.7e-06
1697,6.99e-05
1698,0.0
1699,0.0
1700,0.000181
1701,0.00372
1702,4.17e-06
1703,3.7e-06
1704,3.7e-06
1705,0.0
1706,1.31e-05
1707,0.000993
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0812
1714,2.57e-05
1715,0.0165
1716,1.66e-05
1717,0.0
1718,0.0165
1719,0.0
1720,1.66e-05
1721,1.22e-05
1722,0.0
1723,0.811
1724,0.0
1725,4.47e-06
1726,0.0
1727,0.0
1728,0.00598
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0146
1734,5.39e-05
1735,0.0
1736,0.0
1737,0.0
1738,0.0803
1739,0.151
1740,0.0
1741,0.0
1742,1.12e-06
1743,0.0107
1744,0.905
1745,3.68e-06
1746,0.0
1747,0.0
1748,5.68e-06
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.000106
1755,0.0266
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.000133
1761,0.0
1762,0.0
1763,0.0
1764,2.38e-06
1765,0.0
1766,0.0
1767,0.00131
1768,0.334
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.312
1775,0.0
1776,0.0
1777,0.0
1778,0.0892
1779,0.0
1780,0.0
1781,0.00681
1782,0.00681
1783,8.33e-06
1784,0.000716
1785,0.0
1786,0.0
1787,0.0
1788,6.98e-05
1789,0.0
1790,0.0
1791,0.0
1792,0.0185
1793,0.000496
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.00681
1799,8.81e-06
1800,0.0
1801,7e-05
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.16e-06
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.16e-06
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.000153
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,4.81e-05
1827,0.0
1828,4.01e-06
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.00986
1834,0.000443
1835,0.0
1836,6.99e-05
1837,0.0
1838,0.0
1839,0.000172
1840,0.0
1841,0.0
1842,0.00622
1843,0.0
1844,0.0
1845,0.0
1846,
1847,0.00488
1848,0.0
1849,0.918
1850,0.0
1851,
1852,0.0
1853,0.000225
1854,0.0
1855,0.0
1856,0.00488
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.918
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.000189
1867,5.84e-06
1868,0.0
1869,0.0
1870,0.0
1871,0.00012
1872,6.04e-05
1873,0.000193
1874,0.0
1875,0.000181
1876,0.0
1877,0.0
