,tempo
1301,127.076
1302,129.983
1303,85.018
1304,126.972
1305,143.477
1306,146.036
1307,77.542
1308,123.503
1309,105.95
1310,120.066
1311,140.053
1312,86.046
1313,82.433
1314,130.029
1315,132.125
1316,130.985
1317,94.577
1318,97.988
1319,79.993
1320,149.972
1321,123.035
1322,125.012
1323,134.068
1324,125.978
1325,140.053
1326,
1327,133.503
1328,149.804
1329,180.064
1330,81.539
1331,140.065
1332,140.065
1333,142.948
1334,180.064
1335,163.935
1336,162.214
1337,142.948
1338,140.063
1339,160.414
1340,79.993
1341,115.69
1342,136.078
1343,139.948
1344,137.981
1345,182.02
1346,140.063
1347,102.456
1348,149.996
1349,119.099
1350,114.86
1351,88.031
1352,159.949
1353,142.086
1354,145.062
1355,140.06
1356,74.999
1357,116.84
1358,140.06
1359,116.84
1360,151.988
1361,170.142
1362,112.347
1363,150.514
1364,98.043
1365,80.031
1366,127.08
1367,127.08
1368,139.023
1369,139.023
1370,173.996
1371,160.009
1372,142.977
1373,93.016
1374,150.514
1375,202.015
1376,95.005
1377,84.902
1378,65.538
1379,130.346
1380,113.497
1381,139.952
1382,81.404
1383,117.003
1384,136.025
1385,129.014
1386,85.512
1387,140.888
1388,175.046
1389,140.064
1390,127.051
1391,140.053
1392,142.04
1393,163.806
1394,155.005
1395,141.004
1396,97.062
1397,128.034
1398,142.035
1399,97.981
1400,131.01
1401,165.995
1402,159.985
1403,128.16
1404,143.013
1405,122.0
1406,90.494
1407,159.107
1408,142.039
1409,93.016
1410,144.019
1411,149.042
1412,154.853
1413,141.991
1414,155.738
1415,119.969
1416,75.932
1417,95.005
1418,75.474
1419,119.01
1420,80.032
1421,75.932
1422,75.932
1423,103.956
1424,166.126
1425,
1426,150.089
1427,117.89
1428,110.984
1429,142.977
1430,139.059
1431,159.107
1432,113.47
1433,124.08
1434,87.009
1435,
1436,127.991
1437,91.03
1438,91.03
1439,83.903
1440,
1441,165.906
1442,147.004
1443,158.424
1444,127.999
1445,
1446,91.03
1447,158.424
1448,140.04
1449,115.007
1450,125.012
1451,167.923
1452,96.943
1453,142.948
1454,99.96
1455,140.057
1456,142.046
1457,159.517
1458,129.98
1459,119.054
1460,144.994
1461,155.047
1462,155.047
1463,114.009
1464,149.231
1465,94.978
1466,149.991
1467,128.225
1468,130.583
1469,121.955
1470,116.84
1471,149.97
1472,74.017
1473,82.433
1474,74.949
1475,129.829
1476,119.982
1477,75.016
1478,100.541
1479,146.034
1480,203.911
1481,147.009
1482,137.993
1483,162.839
1484,150.133
1485,81.922
1486,144.973
1487,164.005
1488,140.063
1489,146.036
1490,153.068
1491,125.993
1492,133.954
1493,124.921
1494,79.48
1495,139.63
1496,81.956
1497,77.878
1498,65.538
1499,118.836
1500,167.909
1501,137.993
1502,159.94
1503,130.017
1504,105.052
1505,100.003
1506,81.114
1507,123.951
1508,148.058
1509,140.078
1510,175.985
1511,135.034
1512,85.512
1513,160.011
1514,159.94
1515,123.951
1516,139.999
1517,94.014
1518,140.063
1519,142.791
1520,140.935
1521,159.915
1522,149.231
1523,76.503
1524,159.107
1525,79.351
1526,92.928
1527,
1528,87.009
1529,176.058
1530,100.001
1531,129.954
1532,125.983
1533,162.839
1534,118.981
1535,105.052
1536,160.414
1537,146.976
1538,81.193
1539,159.987
1540,107.059
1541,150.055
1542,75.016
1543,132.947
1544,85.433
1545,78.021
1546,112.985
1547,123.964
1548,145.038
1549,145.914
1550,145.914
1551,203.911
1552,138.015
1553,100.062
1554,130.117
1555,141.991
1556,119.054
1557,93.372
1558,75.025
1559,128.047
1560,89.984
1561,88.435
1562,84.281
1563,129.954
1564,
1565,140.032
1566,154.983
1567,147.004
1568,81.012
1569,150.06
1570,125.94
1571,146.93
1572,91.964
1573,179.913
1574,134.022
1575,134.022
1576,160.084
1577,160.032
1578,160.032
1579,160.035
1580,151.923
1581,144.058
1582,150.068
1583,114.011
1584,77.537
1585,144.038
1586,140.039
1587,162.898
1588,109.412
1589,159.94
1590,118.981
1591,95.967
1592,131.965
1593,167.923
1594,140.987
1595,162.038
1596,76.996
1597,140.068
1598,150.011
1599,142.086
1600,140.063
1601,99.978
1602,113.47
1603,120.749
1604,145.059
1605,131.792
1606,97.985
1607,125.012
1608,150.009
1609,105.989
1610,120.013
1611,150.001
1612,142.959
1613,142.04
1614,78.534
1615,98.043
1616,79.351
1617,119.969
1618,119.969
1619,98.043
1620,100.028
1621,143.038
1622,89.853
1623,72.57
1624,139.864
1625,116.991
1626,110.953
1627,118.003
1628,120.012
1629,174.034
1630,118.003
1631,120.012
1632,140.084
1633,98.451
1634,98.451
1635,168.112
1636,84.98
1637,130.049
1638,76.996
1639,141.97
1640,118.836
1641,127.991
1642,128.047
1643,162.214
1644,170.13
1645,135.038
1646,135.038
1647,119.099
1648,122.947
1649,159.005
1650,101.91
1651,136.297
1652,136.297
1653,129.874
1654,
1655,162.038
1656,137.22
1657,102.021
1658,74.982
1659,123.984
1660,128.009
1661,115.69
1662,124.08
1663,161.042
1664,155.02
1665,116.971
1666,173.948
1667,170.067
1668,127.984
1669,130.218
1670,128.012
1671,144.033
1672,140.084
1673,130.583
1674,133.503
1675,168.097
1676,139.999
1677,100.14
1678,100.14
1679,155.87
1680,92.506
1681,96.943
1682,65.538
1683,131.965
1684,165.906
1685,100.015
1686,192.099
1687,114.009
1688,135.033
1689,134.972
1690,112.985
1691,157.153
1692,74.999
1693,149.293
1694,176.015
1695,155.055
1696,92.899
1697,84.894
1698,98.043
1699,90.01
1700,83.828
1701,75.023
1702,101.008
1703,92.899
1704,92.899
1705,160.414
1706,82.996
1707,119.705
1708,135.984
1709,125.035
1710,88.031
1711,147.004
1712,98.21
1713,80.948
1714,74.017
1715,130.346
1716,139.793
1717,132.936
1718,130.346
1719,147.752
1720,139.793
1721,121.845
1722,143.038
1723,140.039
1724,122.08
1725,162.861
1726,170.13
1727,145.048
1728,88.964
1729,170.067
1730,100.002
1731,99.993
1732,166.111
1733,128.047
1734,150.011
1735,124.987
1736,130.029
1737,100.062
1738,127.96
1739,135.005
1740,154.976
1741,158.043
1742,195.918
1743,134.042
1744,94.699
1745,125.005
1746,96.943
1747,96.057
1748,145.976
1749,139.974
1750,120.039
1751,97.988
1752,163.935
1753,125.983
1754,99.027
1755,125.012
1756,122.947
1757,140.084
1758,142.04
1759,136.041
1760,150.133
1761,144.043
1762,87.998
1763,160.052
1764,144.973
1765,140.003
1766,140.04
1767,86.009
1768,97.949
1769,175.046
1770,99.079
1771,111.959
1772,162.966
1773,79.119
1774,140.053
1775,144.033
1776,139.995
1777,112.001
1778,84.902
1779,173.962
1780,139.919
1781,95.004
1782,95.004
1783,81.404
1784,145.929
1785,122.0
1786,173.948
1787,174.034
1788,140.081
1789,132.055
1790,202.015
1791,150.024
1792,118.003
1793,97.062
1794,128.16
1795,163.935
1796,150.008
1797,151.951
1798,95.004
1799,92.466
1800,87.998
1801,123.964
1802,95.879
1803,174.034
1804,95.034
1805,179.974
1806,132.055
1807,86.046
1808,130.09
1809,76.996
1810,99.158
1811,130.156
1812,130.156
1813,171.447
1814,130.019
1815,84.022
1816,102.94
1817,79.993
1818,181.982
1819,181.982
1820,181.982
1821,77.537
1822,76.997
1823,76.997
1824,137.981
1825,72.57
1826,151.901
1827,139.983
1828,119.963
1829,100.015
1830,173.585
1831,94.513
1832,107.934
1833,146.034
1834,74.896
1835,160.011
1836,84.894
1837,119.01
1838,147.982
1839,177.962
1840,149.935
1841,125.983
1842,123.035
1843,100.003
1844,155.055
1845,168.112
1846,
1847,140.078
1848,129.93
1849,160.147
1850,142.977
1851,
1852,154.964
1853,177.978
1854,146.036
1855,127.999
1856,140.078
1857,130.007
1858,130.007
1859,126.002
1860,98.023
1861,160.147
1862,70.022
1863,153.848
1864,118.04
1865,143.038
1866,137.994
1867,160.004
1868,162.214
1869,105.052
1870,127.981
1871,118.981
1872,80.307
1873,148.058
1874,153.947
1875,83.828
1876,141.888
1877,145.062
1878,118.012
1879,148.991
1880,83.981
1881,135.97
1882,125.948
1883,102.021
1884,99.977
1885,145.929
1886,129.93
1887,104.053
1888,140.053
1889,123.066
1890,144.033
1891,160.414
1892,94.932
1893,161.989
1894,140.02
1895,127.998
1896,149.935
1897,180.051
1898,104.991
1899,130.346
1900,184.194
1901,100.028
1902,100.007
1903,181.982
1904,151.951
1905,157.083
1906,149.991
1907,142.791
1908,142.096
1909,130.032
1910,172.076
1911,153.068
1912,160.062
1913,
1914,107.059
1915,
1916,150.011
1917,92.466
1918,126.002
1919,80.035
1920,139.911
1921,165.995
1922,139.92
1923,115.284
1924,129.979
1925,76.069
1926,75.012
1927,153.899
1928,100.028
1929,129.979
1930,126.77
1931,168.197
1932,142.047
1933,111.519
1934,85.486
1935,131.888
1936,166.126
1937,167.022
1938,130.007
1939,121.082
1940,138.015
1941,100.015
1942,110.984
1943,107.356
1944,162.214
1945,155.157
1946,105.955
1947,140.06
1948,130.218
1949,128.047
1950,135.146
1951,140.114
1952,129.983
1953,129.903
1954,142.006
1955,150.062
1956,127.984
1957,97.949
